#{"t_start": 1765103878.5586216, "env_id": "None"}
r,l,t
-57.99925,200,170.054262
-56.994118,200,170.093729
-56.803856,200,171.173855
-60.009277,200,171.181406
-59.550457,200,171.195372
-58.322296,200,171.233473
-60.865982,200,171.247159
-57.513508,200,171.256968
-5.743632,8,171.272489
-60.545364,200,171.316916
-59.7696,200,171.359636
-60.29566,200,172.127027
-59.659744,200,172.134504
-59.14381,200,172.148904
-57.930565,200,172.18308
-59.939503,200,172.208095
-60.4974,200,172.226956
-58.071224,200,172.276061
-64.164566,200,172.618533
-61.067894,200,173.503499
-60.46856,200,173.512062
-60.364803,200,173.528228
-62.95375,200,173.569592
-58.801556,200,173.595345
-58.829994,200,173.614866
-5.396074,8,173.627364
-59.88622,200,173.672243
-57.612595,200,173.719566
-60.751915,200,174.725834
-58.16924,200,174.736801
-56.563255,200,174.757514
-56.880257,200,174.806285
-58.12046,200,174.857131
-62.10484,200,174.870331
-62.616764,200,175.378317
-7.870906,9,175.418722
-61.084602,200,175.431393
-59.77153,200,176.552296
-58.92856,200,176.560348
-63.433464,200,176.574798
-62.662193,200,176.612771
-57.1631,200,176.65472
-57.389286,200,176.664623
-58.883686,200,176.725223
-59.681046,200,176.735707
-57.15248,200,177.916254
-63.332382,200,177.930151
-58.502502,200,177.958879
-59.27941,200,178.029006
-57.109287,200,178.744503
-60.311638,200,178.761793
-58.390194,200,178.870621
-59.193623,200,178.888198
-61.02274,200,180.265481
-59.618347,200,180.272172
-61.00313,200,180.286402
-6.003863,8,180.315282
-56.477573,200,180.325975
-4.2308702,7,180.341886
-60.216034,200,180.368494
-59.20889,200,180.381044
-3.9117498,7,180.411961
-58.583485,200,180.458226
-58.653835,200,180.469158
-59.74269,200,181.385177
-59.800148,200,181.395322
-59.204712,200,181.936852
-61.25521,200,181.956115
-57.074642,200,181.996997
-61.017845,200,182.042551
-58.614002,200,182.101223
-60.96389,200,182.114235
-58.53853,200,183.063691
-60.9615,200,183.070016
-59.22984,200,183.115635
-58.768555,200,183.12843
-63.70101,200,183.153172
-62.763817,200,183.184345
-64.342705,200,183.229408
-60.756927,200,183.240298
-60.823723,200,184.521158
-60.708843,200,184.528852
-62.95252,200,184.583223
-60.193417,200,184.597869
-60.100822,200,184.62549
-62.978302,200,184.661007
-63.8895,200,184.707251
-57.97018,200,184.718746
-58.17517,200,185.939119
-62.474483,200,185.948516
-61.661964,200,186.01384
-59.062775,200,186.029508
-60.307785,200,186.060726
-59.558258,200,186.103943
-60.54486,200,186.956699
-59.32177,200,186.972793
-57.146046,200,188.471334
-63.507427,200,188.504449
-67.15772,200,188.681432
-62.051926,200,188.70838
-59.445705,200,188.762286
-65.14975,200,188.857898
-60.766468,200,188.96892
-58.34454,200,188.995775
-59.21702,200,190.688418
-60.77954,200,190.697203
-62.040653,200,190.773096
-61.107143,200,190.799808
-58.94587,200,190.842327
-59.840923,200,191.301017
-57.338818,200,191.364408
-58.062325,200,191.381132
-56.837273,200,193.33116
-57.982506,200,193.374181
-60.725044,200,193.486392
-56.99012,200,193.512336
-63.00933,200,193.562988
-58.908,200,193.638416
-57.92929,200,193.733455
-57.674545,200,193.749141
-63.75899,200,196.229825
-56.833725,200,196.23966
-59.61933,200,197.125201
-60.7467,200,197.148991
-2.3925707,6,197.162144
-59.907257,200,197.199641
-62.824642,200,197.26591
-59.334557,200,197.356472
-60.748173,200,197.390612
-60.168476,200,199.588161
-57.5598,200,199.604726
-59.27791,200,199.722466
-59.509365,200,199.734295
-62.195843,200,199.774119
-60.707226,200,199.830582
-60.062775,200,199.964548
-61.377655,200,199.997205
-57.898216,200,202.855088
-61.18975,200,202.871823
-58.900394,200,203.005054
-59.793167,200,203.016374
-58.469933,200,203.050488
-4.040662,7,203.08988
-60.636177,200,203.115665
-56.74914,200,203.220659
-56.947773,200,203.239902
-62.599133,200,204.69424
-62.71264,200,204.704973
-58.82419,200,204.807823
-61.596233,200,204.82093
-58.407364,200,205.019856
-59.965054,200,205.037636
-63.525642,200,205.10815
-60.7115,200,205.656133
-60.300858,200,206.868675
-61.487415,200,206.881217
-58.42505,200,206.97514
-62.965435,200,206.98648
-62.689598,200,207.054679
-61.232323,200,207.067844
-58.95263,200,207.135187
-60.68915,200,207.150545
-62.83704,200,208.423785
-61.783092,200,208.433805
-59.482937,200,208.531623
-63.383823,200,208.54271
-59.09227,200,208.617331
-56.692844,200,209.148978
-62.506893,200,209.304001
-57.695652,200,209.326135
-60.65585,200,210.748612
-62.75168,200,210.760807
-4.0433254,7,210.791105
-58.333008,200,210.868499
-58.432743,200,210.881154
-5.749092,8,210.917703
-61.45203,200,210.957392
-61.485497,200,210.973134
-57.439873,200,211.04379
-59.46405,200,211.061205
-57.884373,200,212.533045
-60.112934,200,212.557717
-7.9820795,9,212.603987
-60.782104,200,213.288063
-58.265522,200,213.324319
-63.14624,200,213.363233
-62.418488,200,213.382871
-64.55314,200,213.478063
-59.580555,200,213.498593
-61.149662,200,215.148837
-60.414547,200,215.237503
-59.68342,200,215.275734
-62.661907,200,215.309722
-8.582438,9,215.32674
-59.083714,200,215.349473
-57.933556,200,215.366465
-7.63456,9,215.415744
-58.842625,200,215.434693
-60.433075,200,215.45991
